goos: linux
goarch: amd64
pkg: github.com/koykov/dyntpl
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkTpl/loopCountBreak-8      	  379261	      3151 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountBreak-8      	  383650	      3350 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountBreak-8      	  369175	      3741 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountBreak-8      	  307641	      3390 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountBreak-8      	  371997	      3377 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountBreak-8      	  350454	      3481 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountBreak-8      	  380292	      3203 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountBreak-8      	  379429	      3334 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  337747	      3383 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  358364	      3351 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  361020	      3704 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  325149	      3565 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  363688	      3360 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  360415	      3436 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  333999	      3788 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  303805	      3584 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  355663	      3307 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountBreakN-8     	  357975	      3516 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountContinue-8   	  278112	      4242 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountContinue-8   	  279567	      4173 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountContinue-8   	  290364	      4369 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountContinue-8   	  263708	      4344 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountContinue-8   	  281625	      4172 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountContinue-8   	  289845	      4850 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountContinue-8   	  241489	      4471 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountContinue-8   	  264544	      4177 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountContinue-8   	  295069	      5222 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountContinue-8   	  213307	      4784 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountCtx-8        	  368858	      3234 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountCtx-8        	  371913	      3302 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountCtx-8        	  337059	      3314 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountCtx-8        	  350125	      3169 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountCtx-8        	  389239	      3080 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountCtx-8        	  384666	      3351 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountCtx-8        	  367424	      3091 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountCtx-8        	  394062	      3204 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountCtx-8        	  360570	      3271 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountCtx-8        	  373046	      3080 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountLazybreak-8  	  578157	      2470 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountLazybreak-8  	  522567	      2365 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountLazybreak-8  	  553687	      2168 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountLazybreak-8  	  536716	      2148 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCountLazybreak-8  	  515552	      2336 ns/op	       0 B/op	       0 allocs/op
